pid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
77328,1609705192,1609707051,1,21.3,JFK Airport,Washington Heights North,Credit Card,52.0,14.7,73.62
383648,1610366895,1610367307,1,1.06,Midtown Center,Midtown South,Cash,6.5,0.0,9.8
656549,1610899548,1610899949,1,1.2,Manhattan Valley,East Harlem South,Credit Card,7.0,2.6,11.4
457930,1610518737,1610519569,1,4.6,Two Bridges/Seward Park,Lenox Hill East,Credit Card,16.0,3.0,22.3
1035618,1611674357,1611674618,2,0.8,East Village,East Village,Credit Card,5.0,1.66,9.96
1181853,1611934434,1611934853,2,1.6,Lincoln Square East,Upper East Side South,Credit Card,7.5,2.15,12.95
130747,1609841427,1609841600,6,0.52,West Village,SoHo,Credit Card,4.0,4.0,11.3
1160928,1611909305,1611909626,1,0.59,Yorkville East,Upper East Side North,Credit Card,5.0,1.0,9.3
1194789,1611943518,1611943849,1,0.59,East Harlem North,East Harlem South,Cash,5.0,0.0,6.8
877946,1611332793,1611333172,1,0.92,Upper West Side North,Upper West Side South,Credit Card,6.5,1.08,11.88
911845,1611409642,1611410302,1,2.02,Midtown North,West Chelsea/Hudson Yards,Cash,9.0,0.0,12.3
420145,1610443987,1610444504,1,2.02,Murray Hill,Lenox Hill West,Credit Card,8.5,1.2,13.0
456212,1610491256,1610491401,1,0.75,Clinton East,East Chelsea,Credit Card,4.5,1.66,9.96
1247271,1612090798,1612091024,1,1.0,Lenox Hill West,Upper East Side North,Credit Card,5.0,1.25,9.55
1203047,1611953862,1611954417,1,1.83,Bloomingdale,Central Harlem North,Credit Card,8.5,1.96,11.76
1195016,1611945662,1611946002,2,0.8,Murray Hill,Union Sq,Credit Card,5.5,1.95,11.75
399666,1610385751,1610386974,4,4.32,Penn Station/Madison Sq West,Yorkville West,Credit Card,17.0,4.26,25.56
834704,1611248442,1611249725,1,3.9,Midtown Center,Morningside Heights,Credit Card,16.5,4.16,24.96
915245,1611411146,1611411636,2,1.6,Garment District,Upper East Side South,Credit Card,8.0,2.26,13.56
145425,1609860501,1609860857,1,1.05,Sutton Place/Turtle Bay North,Midtown East,Credit Card,6.0,1.86,11.16
514331,1610619795,1610620350,1,1.81,Yorkville West,Upper West Side South,Cash,8.5,0.0,11.8
832045,1611249486,1611249735,1,0.72,Midtown East,Murray Hill,Cash,4.5,0.0,8.8
4762,1609484655,1609485414,0,7.5,JFK Airport,NA,Cash,21.0,0.0,21.8
1252082,1612095628,1612096118,1,1.5,Upper East Side South,Upper East Side North,Credit Card,8.0,2.26,13.56
905712,1611401315,1611401717,2,1.19,Midtown Center,Lenox Hill West,Credit Card,7.0,1.03,11.33
426961,1610453041,1610453215,1,0.44,Upper West Side South,Upper West Side North,Credit Card,4.0,0.7,8.0
85644,1609748728,1609749496,1,2.38,Lincoln Square West,Lenox Hill East,Cash,10.5,0.0,13.8
714962,1611052172,1611052600,1,1.03,Sutton Place/Turtle Bay North,Upper East Side South,Credit Card,6.5,1.96,11.76
52022,1609621431,1609621783,5,1.08,Upper East Side North,East Harlem South,Credit Card,6.5,2.58,12.88
75137,1609699357,1609699564,1,0.69,Upper East Side South,NV,Credit Card,4.5,1.5,9.3
1183482,1611934121,1611935542,0,1.6,Upper East Side North,Yorkville West,Cash,15.0,0.0,18.3
633224,1610827235,1610827799,3,2.3,Upper East Side North,UN/Turtle Bay South,Credit Card,9.0,2.55,15.35
1012551,1611646570,1611646903,1,1.09,Yorkville West,East Harlem South,Credit Card,5.5,1.76,10.56
170441,1609925989,1609926516,6,1.46,Murray Hill,Midtown South,Credit Card,8.0,2.82,14.12
612662,1610799068,1610799589,1,2.02,Times Sq/Theatre District,Upper West Side South,Credit Card,8.5,2.36,14.16
402664,1610390905,1610391080,1,0.9,Upper East Side North,East Harlem South,Cash,4.5,0.0,8.8
292726,1610131526,1610131875,1,1.2,Clinton East,Clinton West,Credit Card,6.0,2.06,12.36
948249,1611496430,1611497289,3,2.91,Upper West Side North,Upper West Side North,Credit Card,12.5,2.2,18.0
1034046,1611672815,1611673087,1,0.87,Midtown Center,Garment District,Credit Card,5.0,2.49,10.79
91158,1609757765,1609758551,2,2.9,UN/Turtle Bay South,Upper West Side South,Credit Card,11.5,3.7,18.5
229060,1610027288,1610027846,1,1.2,Upper East Side South,Midtown East,Cash,-8.0,0.0,-11.3
42530,1609605641,1609605853,1,0.8,Little Italy/NoLiTa,Greenwich Village North,Credit Card,4.5,0.39,8.19
1129840,1611846204,1611846752,1,2.0,Midtown North,Flatiron,Credit Card,9.0,3.65,15.95
1257220,1612104958,1612106668,1,4.58,Murray Hill,Two Bridges/Seward Park,Cash,21.5,0.0,24.8
1120295,1611835493,1611835970,1,1.3,Union Sq,UN/Turtle Bay South,Credit Card,7.5,2.7,13.5
1062969,1611744828,1611745176,1,0.48,Long Island City/Queens Plaza,Long Island City/Queens Plaza,Cash,5.5,0.0,6.3
1089814,1611768052,1611768694,1,1.9,Upper East Side North,Upper West Side South,Credit Card,9.5,2.75,16.55
