pid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
823742,1611238468,1611238760,2,0.8,Astoria,Long Island City/Queens Plaza,Cash,5.5,0.0,6.3
942420,1611488771,1611489269,3,1.8,East Chelsea,Lincoln Square East,Cash,7.5,0.0,10.8
141585,1609856309,1609858807,1,3.96,Upper East Side North,Yorkville West,Cash,24.5,0.0,27.8
640550,1610869373,1610870079,1,6.61,East Williamsburg,Jackson Heights,Credit Card,19.5,2.0,22.3
935553,1611443580,1611444862,1,6.12,Chinatown,East Williamsburg,Credit Card,21.0,6.2,31.0
295415,1610134539,1610135176,1,2.12,Garment District,West Village,Credit Card,9.5,2.76,16.56
55688,1609634082,1609634787,1,1.93,East Harlem North,Bloomingdale,Cash,10.0,0.0,11.3
370470,1610348666,1610348911,3,1.33,East Harlem South,East Harlem North,Credit Card,6.0,1.36,8.16
385612,1610369696,1610370196,1,1.27,Lincoln Square East,Upper East Side South,Credit Card,7.5,2.16,12.96
702658,1611014237,1611014755,1,2.6,East Harlem North,Upper West Side North,Cash,9.5,0.0,13.3
427194,1610455721,1610456551,2,1.8,East Harlem North,Manhattan Valley,Credit Card,10.0,1.0,11.8
171526,1609924111,1609924415,1,1.25,Long Island City/Queens Plaza,Astoria,Cash,6.0,0.0,6.8
89221,1609755392,1609756046,5,2.27,SoHo,Midtown South,Cash,10.0,0.0,13.3
353233,1610288839,1610289440,1,1.53,Yorkville West,Central Park,Credit Card,8.5,2.36,14.16
1165084,1611915220,1611915565,1,0.58,Hudson Sq,Meatpacking/West Village West,Credit Card,5.5,2.2,11.0
161927,1609883645,1609883714,1,0.5,Upper West Side North,Central Park,Cash,3.5,0.0,4.8
1267289,1612116409,1612117000,1,2.4,Union Sq,Central Park,Credit Card,10.0,2.65,15.95
455002,1610487062,1610487286,1,0.65,Greenwich Village South,Greenwich Village North,Credit Card,4.5,2.49,10.79
1174178,1611922575,1611923611,1,3.4,Lenox Hill East,Long Island City/Hunters Point,Credit Card,14.5,4.45,22.25
712608,1611048070,1611049105,1,2.37,Murray Hill,Lincoln Square East,Cash,12.5,0.0,15.8
576245,1610719300,1610720190,1,2.65,Midtown East,Hudson Sq,Credit Card,12.0,10.0,25.3
1009342,1611623425,1611624088,1,7.05,Midtown North,Washington Heights North,Credit Card,20.5,4.86,29.16
803244,1611221176,1611221763,1,1.9,Manhattan Valley,Lincoln Square East,Credit Card,9.0,1.7,14.0
2517,1609468351,1609468725,1,2.08,Upper East Side South,East Harlem North,Credit Card,8.0,2.95,14.75
196191,1609950562,1609951197,3,1.59,Central Park,Sutton Place/Turtle Bay North,Credit Card,9.0,2.66,15.96
299594,1610141733,1610142116,1,2.23,Lenox Hill West,Gramercy,Cash,8.0,0.0,11.8
1158404,1611909623,1611910068,1,1.1,Lincoln Square East,Times Sq/Theatre District,Credit Card,7.0,2.05,12.35
744162,1611079443,1611079837,6,1.52,Lower East Side,Kips Bay,Credit Card,7.0,1.0,12.3
255997,1610066994,1610067329,1,1.67,Lincoln Square East,West Chelsea/Hudson Yards,Credit Card,7.0,2.7,13.5
1041838,1611680549,1611680986,1,1.43,Midtown South,Greenwich Village North,Credit Card,7.0,2.26,13.56
440754,1610445676,1610447068,1,4.23,Upper East Side North,Greenwich Village North,Credit Card,17.5,1.0,22.8
102976,1609771772,1609771989,1,0.64,Sutton Place/Turtle Bay North,Midtown Center,Cash,4.5,0.0,7.8
138584,1609852167,1609852419,6,0.53,Upper East Side South,Midtown East,Credit Card,4.5,1.17,8.97
1113725,1611829784,1611830683,1,3.1,Gramercy,Upper East Side North,Credit Card,12.5,0.2,16.0
159105,1609875039,1609875517,1,2.67,Union Sq,Lincoln Square East,Credit Card,9.5,2.25,16.05
832902,1611251255,1611251722,1,0.9,Upper West Side South,Lincoln Square West,Credit Card,7.0,2.0,13.3
808279,1611223455,1611223793,1,1.2,Upper East Side South,Murray Hill,Credit Card,6.5,0.98,10.78
949983,1611500085,1611500356,3,0.66,Upper West Side South,Upper West Side South,Credit Card,5.0,1.66,9.96
966355,1611557975,1611558454,1,2.1,Flatiron,Midtown Center,Credit Card,8.5,2.36,14.16
113732,1609786175,1609786540,1,1.29,Upper East Side South,Murray Hill,Credit Card,6.5,0.0,10.8
473241,1610541543,1610542337,1,1.36,Lenox Hill East,Upper East Side North,Credit Card,9.0,2.46,14.76
1195458,1611945725,1611947794,2,6.19,Union Sq,Bedford,Credit Card,25.5,5.96,35.76
628753,1610821783,1610822130,1,1.3,Manhattan Valley,Upper West Side South,Credit Card,6.5,1.69,11.49
382284,1610365689,1610366094,4,1.64,Sutton Place/Turtle Bay North,Yorkville East,Credit Card,7.0,2.58,12.88
42416,1609605334,1609605469,1,0.47,Morningside Heights,Morningside Heights,Credit Card,4.0,1.2,6.0
149059,1609864661,1609865118,2,1.26,Greenwich Village South,TriBeCa/Civic Center,Cash,7.0,0.0,11.3
