tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
1611216753,1611218733,1,7.47,Morningside Heights,Gramercy,Credit Card,28.0,9.39,40.69
1610044480,1610044862,1,1.48,Upper East Side South,East Harlem South,Credit Card,7.0,1.2,12.5
1609857360,1609857777,1,1.26,Midtown Center,Kips Bay,Credit Card,7.0,2.06,12.36
1611157252,1611157767,1,1.68,Lincoln Square East,Midtown South,Credit Card,8.0,2.26,13.56
1610996466,1610998396,1,9.77,JFK Airport,East Flatbush/Remsen Village,Cash,33.0,0.0,33.8
1611916278,1611917237,1,3.54,West Village,Lincoln Square East,Credit Card,13.5,3.36,20.16
1610737220,1610737498,4,0.9,Midtown East,Upper East Side South,Credit Card,5.5,0.98,10.78
1609936611,1609937136,2,1.07,West Village,East Village,Credit Card,7.5,2.16,12.96
1610184398,1610184882,1,2.0,Flatiron,Little Italy/NoLiTa,Credit Card,8.5,1.0,12.8
1611838962,1611840462,1,3.8,Morningside Heights,Lenox Hill East,Cash,18.0,0.0,21.3
1611854277,1611855265,3,3.06,Lenox Hill East,Garment District,Credit Card,13.0,3.46,20.76
1611563469,1611564309,1,3.0,Upper West Side North,Midtown Center,Credit Card,12.5,3.95,19.75
1611649166,1611649571,1,0.9,Upper East Side North,Lenox Hill East,Credit Card,6.0,2.3,11.6
1609719749,1609720654,1,8.7,LaGuardia Airport,Clinton Hill,Cash,25.5,0.0,26.8
1611148344,1611148697,1,1.8,Murray Hill,Lenox Hill East,Cash,7.5,0.0,10.8
1611850807,1611851097,1,0.69,TriBeCa/Civic Center,TriBeCa/Civic Center,Credit Card,5.0,1.0,10.3
1611404686,1611404877,1,0.88,Kips Bay,UN/Turtle Bay South,Cash,5.0,0.0,8.3
1611133926,1611134588,2,1.9,Clinton East,Gramercy,Cash,9.0,0.0,12.3
1610477220,1610477719,1,2.1,Garment District,Upper West Side South,Credit Card,8.5,2.55,15.35
1611402897,1611403700,1,3.4,Midtown East,Central Harlem,Credit Card,13.0,3.25,19.55
1610444765,1610445660,1,2.14,Upper West Side South,Upper East Side South,Credit Card,11.5,2.0,16.8
1610734193,1610734756,1,1.45,Gramercy,Flatiron,Credit Card,8.0,3.08,15.38
1610726023,1610726247,1,0.5,Times Sq/Theatre District,Times Sq/Theatre District,No charge,4.0,0.0,7.3
1612021779,1612022547,1,1.6,Upper East Side North,Midtown North,Credit Card,10.0,2.0,15.3
1611903904,1611904078,1,0.8,NV,NV,Credit Card,4.5,1.59,6.89
1612104461,1612104754,2,0.69,TriBeCa/Civic Center,SoHo,Credit Card,5.0,1.66,9.96
1610899193,1610899361,2,0.6,Lincoln Square East,Clinton East,Credit Card,4.0,1.45,8.75
1610192976,1610193675,1,2.4,Times Sq/Theatre District,Yorkville East,Credit Card,10.5,1.0,14.8
1610275856,1610276131,1,0.89,Upper East Side North,Lenox Hill West,Cash,5.5,0.0,8.8
1611418049,1611418554,2,1.8,Sutton Place/Turtle Bay North,Gramercy,Cash,8.5,0.0,11.8
1610360805,1610361172,1,0.71,Upper East Side South,Upper East Side North,Credit Card,5.5,1.76,10.56
1612021551,1612022266,1,2.44,Midtown East,Greenwich Village South,Credit Card,10.5,2.76,16.56
1610133811,1610134305,2,1.1,Kips Bay,Penn Station/Madison Sq West,Credit Card,7.0,1.0,12.3
1610289960,1610290527,1,2.2,West Chelsea/Hudson Yards,Midtown North,Cash,9.0,0.0,12.3
1609830949,1609831779,1,2.87,East Harlem South,Central Harlem North,Cash,12.5,0.0,13.3
1612024931,1612025838,1,3.17,Gramercy,Lincoln Square East,Credit Card,13.0,6.0,22.3
1609566731,1609567104,1,0.69,Upper East Side South,Lenox Hill East,Cash,5.5,0.0,9.3
1610389942,1610390158,1,0.88,Times Sq/Theatre District,Penn Station/Madison Sq West,Cash,5.0,0.0,9.3
1611830665,1611831142,1,1.2,Midtown East,Murray Hill,Credit Card,7.0,2.05,12.35
1610204769,1610205622,1,2.8,Clinton West,Upper East Side South,Credit Card,12.5,0.0,15.8
1609611062,1609612476,1,3.6,Upper East Side North,Union Sq,Credit Card,17.5,4.16,24.96
1609513083,1609513956,3,2.66,West Chelsea/Hudson Yards,Central Park,Credit Card,12.5,2.0,17.8
1610092725,1610093058,1,0.9,Kips Bay,East Village,Credit Card,6.0,2.3,11.6
1609952055,1609952901,1,4.07,Meatpacking/West Village West,Upper West Side South,Credit Card,15.0,3.86,23.16
1611698365,1611700337,1,18.0,JFK Airport,Central Harlem,Cash,52.0,0.0,58.92
1611877724,1611879386,0,11.6,LaGuardia Airport,Riverdale/North Riverdale/Fieldston,Credit Card,35.5,7.0,49.92
1610653238,1610653735,6,1.29,Upper East Side North,Lenox Hill East,Cash,7.5,0.0,11.8
1611255395,1611255708,1,1.02,Midtown East,Lenox Hill West,Credit Card,6.0,2.06,12.36
1612122463,1612123122,1,3.0,Penn Station/Madison Sq West,Lenox Hill West,Credit Card,11.0,2.0,16.3
1609998498,1609999032,1,2.5,Garment District,Lenox Hill West,Credit Card,9.5,3.8,16.6
1610721481,1610721980,1,1.5,East Harlem North,Upper East Side North,Credit Card,7.5,3.2,14.0
1611945635,1611946230,1,1.93,Greenwich Village North,Midtown Center,Credit Card,9.0,2.5,15.8
1610530696,1610531478,1,3.02,Lenox Hill West,Midtown Center,Credit Card,12.5,3.16,18.96
1610016138,1610017013,1,3.2,Upper West Side South,Union Sq,Credit Card,12.5,3.0,18.8
1609752381,1609752673,2,0.7,Upper East Side South,Midtown East,Credit Card,5.0,1.66,9.96
1611130033,1611130400,1,1.0,Lenox Hill East,Upper East Side North,Credit Card,6.0,2.0,11.3
1611853305,1611853590,1,0.67,Gramercy,Stuy Town/Peter Cooper Village,Credit Card,5.0,2.79,12.09
1611527828,1611528996,1,7.26,Kips Bay,Clinton Hill,Credit Card,23.0,5.36,32.16
1609850458,1609850841,1,1.06,Lenox Hill West,Lenox Hill West,Credit Card,6.0,1.0,10.3
1611927815,1611928243,2,1.24,Central Park,Upper East Side South,Credit Card,7.0,2.06,12.36
1612136240,1612137895,1,8.81,Lenox Hill East,Corona,Cash,27.0,0.0,30.8
1611230018,1611230524,2,1.19,Midtown Center,UN/Turtle Bay South,Credit Card,7.0,2.06,12.36
1611927178,1611927723,1,1.35,Union Sq,West Chelsea/Hudson Yards,Credit Card,8.0,2.26,13.56
1612107679,1612109134,1,4.64,Upper East Side South,SoHo,Credit Card,18.0,4.26,25.56
1611683124,1611684075,3,8.04,Queensbridge/Ravenswood,Financial District South,Credit Card,23.0,0.05,26.85
1610985638,1610986359,1,2.43,Yorkville West,Midtown Center,Credit Card,10.5,1.2,15.0
1610906915,1610907243,1,0.8,Lenox Hill East,Upper East Side South,Credit Card,5.5,1.0,9.8
1611511969,1611512678,1,1.99,Lenox Hill East,Midtown North,Cash,9.5,0.0,12.8
1611614327,1611614787,1,1.7,West Village,Lower East Side,Credit Card,7.5,1.0,12.3
1611692789,1611693481,1,2.07,Murray Hill,East Village,Cash,10.0,0.0,13.8
1611216515,1611216737,0,0.8,Upper East Side South,Yorkville West,Cash,5.0,0.0,8.3
1611167906,1611169607,2,13.61,LaGuardia Airport,West Village,Credit Card,39.0,9.88,59.3
1611766928,1611767585,1,1.9,Midtown South,Upper East Side South,Credit Card,9.5,2.0,15.8
1610718046,1610719779,1,5.3,East Harlem North,Washington Heights South,Credit Card,21.5,0.0,22.3
1610193870,1610194934,1,5.02,Upper West Side South,West Village,Credit Card,18.0,4.26,25.56
1611885927,1611886651,1,3.42,Kips Bay,Lincoln Square East,Credit Card,12.5,3.26,19.56
1611433055,1611433707,1,3.79,Midtown Center,East Harlem North,Cash,12.5,0.0,16.3
1609861416,1609861977,1,1.17,Upper East Side South,Yorkville East,Credit Card,7.5,1.0,11.8
1610128335,1610128776,1,1.2,Greenwich Village South,West Village,Credit Card,7.0,2.8,14.1
1610732458,1610732834,1,0.9,Lenox Hill East,Lenox Hill West,Credit Card,6.0,2.05,12.35
1609928981,1609929832,1,3.1,East Harlem South,Midtown East,Credit Card,12.5,3.16,18.96
1610207651,1610208421,2,3.2,Gramercy,Upper East Side North,Credit Card,12.0,4.55,19.85
1610560836,1610560973,4,0.51,Gramercy,Gramercy,Credit Card,3.5,2.34,10.14
1610381463,1610381841,1,1.73,UN/Turtle Bay South,Upper East Side South,Cash,7.0,0.0,11.3
1610808326,1610808419,1,0.38,Lenox Hill East,Lenox Hill East,Credit Card,3.5,2.04,8.84
1610570720,1610570946,1,0.5,Upper West Side South,Lincoln Square East,Credit Card,4.5,1.0,9.3
1611409010,1611410165,1,3.66,Central Park,Union Sq,Credit Card,15.0,4.58,22.88
1611129953,1611130707,1,2.4,Union Sq,Clinton West,Cash,11.0,0.0,14.3
1610697452,1610698535,1,2.4,Lincoln Square West,East Harlem South,Credit Card,14.0,2.6,19.9
1611302007,1611302631,1,3.52,Manhattan Valley,Clinton West,Credit Card,12.5,3.95,19.75
1610479362,1610479832,1,1.6,UN/Turtle Bay South,East Village,Credit Card,8.0,2.46,14.76
1609942251,1609943590,1,3.41,East Chelsea,Alphabet City,Cash,16.5,0.0,19.8
